ID,PRN Number,Name,Email,Role,Course,Year,Phone,Address,Mother Name,DOB,Books Borrowed,Extension Requests,Library Hours (Month),Library Hours (Year),Created At,Updated At
131,PRN2024131,Sneha Patel,student131@college.edu,student,BSC IT,1st,9876510131,"Address 131, City, State",Maya,03031995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
132,PRN2024132,Reyansh Sharma,student132@college.edu,student,BSC IT,5th,9876510132,"Address 132, City, State",Sunita,08071995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
133,PRN2024133,Aarav Patel,student133@college.edu,student,BTech Data Science,5th,9876510133,"Address 133, City, State",Radha,25051997,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
134,PRN2024134,Rohit Jain,student134@college.edu,student,BSC IT,4th,9876510134,"Address 134, City, State",Meera,10042003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
135,PRN2024135,Ayaan Singh,student135@college.edu,student,BSC CS,2nd,9876510135,"Address 135, City, State",Geeta,23051995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
136,PRN2024136,Rohit Jain,student136@college.edu,student,BTech Computer Science,4th,9876510136,"Address 136, City, State",Radha,22082004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
137,PRN2024137,Vivaan Bansal,student137@college.edu,student,BTech Data Science,2nd,9876510137,"Address 137, City, State",Priya,28041997,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
138,PRN2024138,Navya Kumar,student138@college.edu,student,BSC IT,2nd,9876510138,"Address 138, City, State",Kavita,06042001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
139,PRN2024139,Fatima Singh,student139@college.edu,student,BTech Data Science,4th,9876510139,"Address 139, City, State",Meera,15042004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
140,PRN2024140,Suresh Agarwal,student140@college.edu,student,BTech Data Science,4th,9876510140,"Address 140, City, State",Sunita,07102002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
141,PRN2024141,Aarav Verma,student141@college.edu,student,BSC CS,3rd,9876510141,"Address 141, City, State",Geeta,26112003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
142,PRN2024142,Riya Gupta,student142@college.edu,student,BTech Data Science,2nd,9876510142,"Address 142, City, State",Lata,22092005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
143,PRN2024143,Ira Verma,student143@college.edu,student,BTech Data Science,1st,9876510143,"Address 143, City, State",Lata,28042004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
144,PRN2024144,Ira Bansal,student144@college.edu,student,BTech Data Science,2nd,9876510144,"Address 144, City, State",Meera,04112000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
145,PRN2024145,Amit Gupta,student145@college.edu,student,BTech Computer Science,4th,9876510145,"Address 145, City, State",Geeta,02051995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
146,PRN2024146,Rahul Bansal,student146@college.edu,student,BTech Computer Science,2nd,9876510146,"Address 146, City, State",Geeta,04022001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
147,PRN2024147,Ishaan Jain,student147@college.edu,student,BTech Computer Science,2nd,9876510147,"Address 147, City, State",Kavita,04082004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
148,PRN2024148,Fatima Gupta,student148@college.edu,student,BSC IT,4th,9876510148,"Address 148, City, State",Kavita,09082000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
149,PRN2024149,Priya Bansal,student149@college.edu,student,BTech Computer Science,2nd,9876510149,"Address 149, City, State",Meera,04101995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
150,PRN2024150,Fatima Agarwal,student150@college.edu,student,BTech Data Science,2nd,9876510150,"Address 150, City, State",Kavita,02021998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
151,PRN2024151,Ishaan Patel,student151@college.edu,student,BTech Data Science,2nd,9876510151,"Address 151, City, State",Meera,25112005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
152,PRN2024152,Vikash Agarwal,student152@college.edu,student,BTech Computer Science,5th,9876510152,"Address 152, City, State",Kavita,25051996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
153,PRN2024153,Sneha Agarwal,student153@college.edu,student,BSC IT,2nd,9876510153,"Address 153, City, State",Sunita,28091998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
154,PRN2024154,Sai Verma,student154@college.edu,student,BSC CS,3rd,9876510154,"Address 154, City, State",Meera,12032005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
155,PRN2024155,Myra Patel,student155@college.edu,student,BSC IT,4th,9876510155,"Address 155, City, State",Kavita,21061996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
156,PRN2024156,Rahul Patel,student156@college.edu,student,BTech Data Science,3rd,9876510156,"Address 156, City, State",Priya,09042005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
157,PRN2024157,Krishna Kumar,student157@college.edu,student,BSC IT,3rd,9876510157,"Address 157, City, State",Lata,01092003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
158,PRN2024158,Ishaan Gupta,student158@college.edu,student,BSC IT,1st,9876510158,"Address 158, City, State",Sita,18022003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
159,PRN2024159,Kavya Shah,student159@college.edu,student,BTech Computer Science,1st,9876510159,"Address 159, City, State",Lata,04062002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
160,PRN2024160,Rohit Agarwal,student160@college.edu,student,BSC IT,1st,9876510160,"Address 160, City, State",Radha,21081998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
161,PRN2024161,Anvi Agarwal,student161@college.edu,student,BTech Data Science,4th,9876510161,"Address 161, City, State",Geeta,26032003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
162,PRN2024162,Amit Verma,student162@college.edu,student,BTech Computer Science,4th,9876510162,"Address 162, City, State",Priya,08052005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
163,PRN2024163,Amit Singh,student163@college.edu,student,BTech Computer Science,5th,9876510163,"Address 163, City, State",Maya,15012002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
164,PRN2024164,Fatima Gupta,student164@college.edu,student,BSC CS,4th,9876510164,"Address 164, City, State",Meera,09092000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
165,PRN2024165,Priya Sharma,student165@college.edu,student,BSC IT,2nd,9876510165,"Address 165, City, State",Kavita,04122002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
166,PRN2024166,Kavya Agarwal,student166@college.edu,student,BSC CS,4th,9876510166,"Address 166, City, State",Meera,24062000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
167,PRN2024167,Riya Shah,student167@college.edu,student,BTech Computer Science,5th,9876510167,"Address 167, City, State",Priya,24031996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
168,PRN2024168,Pihu Gupta,student168@college.edu,student,BSC CS,5th,9876510168,"Address 168, City, State",Lata,16012001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
169,PRN2024169,Sai Patel,student169@college.edu,student,BSC CS,1st,9876510169,"Address 169, City, State",Lata,03012001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
170,PRN2024170,Diya Sharma,student170@college.edu,student,BSC CS,4th,9876510170,"Address 170, City, State",Kavita,07071995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
171,PRN2024171,Aditya Kumar,student171@college.edu,student,BTech Computer Science,3rd,9876510171,"Address 171, City, State",Sunita,13082001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
172,PRN2024172,Anvi Bansal,student172@college.edu,student,BSC CS,4th,9876510172,"Address 172, City, State",Lata,26041998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
173,PRN2024173,Riya Singh,student173@college.edu,student,BTech Data Science,5th,9876510173,"Address 173, City, State",Geeta,07102000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
174,PRN2024174,Sneha Shah,student174@college.edu,student,BTech Data Science,2nd,9876510174,"Address 174, City, State",Meera,03082004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
175,PRN2024175,Krishna Bansal,student175@college.edu,student,BTech Data Science,4th,9876510175,"Address 175, City, State",Kavita,22022005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
176,PRN2024176,Pihu Singh,student176@college.edu,student,BSC CS,2nd,9876510176,"Address 176, City, State",Shanti,04092002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
177,PRN2024177,Anita Agarwal,student177@college.edu,student,BTech Data Science,4th,9876510177,"Address 177, City, State",Maya,04112001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
178,PRN2024178,Vikash Kumar,student178@college.edu,student,BTech Data Science,2nd,9876510178,"Address 178, City, State",Sunita,04012003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
179,PRN2024179,Anita Sharma,student179@college.edu,student,BSC IT,3rd,9876510179,"Address 179, City, State",Maya,09041995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
180,PRN2024180,Priya Kumar,student180@college.edu,student,BSC CS,3rd,9876510180,"Address 180, City, State",Priya,08032000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
181,PRN2024181,Rahul Bansal,student181@college.edu,student,BTech Computer Science,5th,9876510181,"Address 181, City, State",Lata,28071998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
182,PRN2024182,Sai Bansal,student182@college.edu,student,BTech Data Science,5th,9876510182,"Address 182, City, State",Meera,10012004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
183,PRN2024183,Myra Verma,student183@college.edu,student,BSC CS,5th,9876510183,"Address 183, City, State",Lata,15012005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
184,PRN2024184,Vihaan Patel,student184@college.edu,student,BSC IT,1st,9876510184,"Address 184, City, State",Sunita,01021996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
185,PRN2024185,Amit Agarwal,student185@college.edu,student,BSC IT,3rd,9876510185,"Address 185, City, State",Sunita,25021998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
186,PRN2024186,Aditya Patel,student186@college.edu,student,BSC IT,3rd,9876510186,"Address 186, City, State",Sita,10082005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
187,PRN2024187,Reyansh Verma,student187@college.edu,student,BTech Data Science,3rd,9876510187,"Address 187, City, State",Meera,22092005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
188,PRN2024188,Pihu Singh,student188@college.edu,student,BSC IT,5th,9876510188,"Address 188, City, State",Geeta,23032002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
189,PRN2024189,Aditya Kumar,student189@college.edu,student,BTech Data Science,5th,9876510189,"Address 189, City, State",Kavita,19011995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
190,PRN2024190,Arjun Sharma,student190@college.edu,student,BSC CS,1st,9876510190,"Address 190, City, State",Sunita,20011997,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
191,PRN2024191,Pihu Patel,student191@college.edu,student,BSC IT,3rd,9876510191,"Address 191, City, State",Shanti,02052005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
192,PRN2024192,Aditya Agarwal,student192@college.edu,student,BSC CS,3rd,9876510192,"Address 192, City, State",Sita,28072004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
193,PRN2024193,Krishna Kumar,student193@college.edu,student,BSC CS,1st,9876510193,"Address 193, City, State",Sunita,28122004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
194,PRN2024194,Reyansh Gupta,student194@college.edu,student,BTech Data Science,5th,9876510194,"Address 194, City, State",Shanti,16042004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
195,PRN2024195,Sai Sharma,student195@college.edu,student,BTech Computer Science,2nd,9876510195,"Address 195, City, State",Shanti,11032004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
196,PRN2024196,Sai Kumar,student196@college.edu,student,BTech Computer Science,5th,9876510196,"Address 196, City, State",Kavita,24011999,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
197,PRN2024197,Fatima Shah,student197@college.edu,student,BSC CS,3rd,9876510197,"Address 197, City, State",Priya,19061997,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
198,PRN2024198,Anvi Gupta,student198@college.edu,student,BSC CS,5th,9876510198,"Address 198, City, State",Priya,03042001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
199,PRN2024199,Anita Patel,student199@college.edu,student,BSC IT,2nd,9876510199,"Address 199, City, State",Sunita,21082005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
200,PRN2024200,Reyansh Shah,student200@college.edu,student,BTech Data Science,2nd,9876510200,"Address 200, City, State",Meera,17071997,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
201,ADM2024001,Dr. Admin,adm2024001@college.edu,admin,N/A,N/A,9999999999,Admin Office,Usha,25061975,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
202,ADM2024002,Prof. Admin,adm2024002@college.edu,admin,N/A,N/A,9999999999,Admin Office,Lata,12041978,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
203,ADM2024003,Mr. Admin,adm2024003@college.edu,admin,N/A,N/A,9999999999,Admin Office,Sita,15031980,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
204,ADM2024004,Ms. Admin,adm2024004@college.edu,admin,N/A,N/A,9999999999,Admin Office,Maya,08121982,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
205,ADM2024005,Dr. Head Admin,adm2024005@college.edu,admin,N/A,N/A,9999999999,Admin Office,Radha,22051975,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
206,ADM2025001,Alok Sir ,boss01@edu.in,admin,N/A,N/A,000000789,SN COLLEGE ,sanju,27032006,3,0,0.0,0.0,2025-11-17 14:52:01.334187,2026-02-18 13:56:24.883997
207,ADM2025002,Tiwari Aalok,roronozoro1p@gmail.com,student,BSC CS,3rd,000000789,SN College Hanuman Temples thane ,sanju,27032006,8,0,0.0,0.0,2025-11-17 14:53:28.354933,2026-02-20 07:12:35.206508
